gt_label,metric_name,n_samples,flip_rate,metric_mean,run
74,flip_wrong_to_correct,10,0.01,0.01,imagenet_mnv2_050_exact
74,pred_changed,10,0.013750000000000002,0.013750000000000002,imagenet_mnv2_050_exact
74,topk_exit,10,0.00125,0.00125,imagenet_mnv2_050_exact
74,gt_prob_drop,10,,0.005845378334634005,imagenet_mnv2_050_exact
74,gt_logit_drop,10,,0.12612090675160287,imagenet_mnv2_050_exact
74,margin_drop,10,,0.042412577643990514,imagenet_mnv2_050_exact
74,loss_increase,10,,0.013755752380503177,imagenet_mnv2_050_exact
74,gt_rank_worsening,10,,0.005000000000000001,imagenet_mnv2_050_exact
198,flip_correct_to_wrong,10,0.016249999999999997,0.016249999999999997,imagenet_mnv2_050_exact
198,flip_wrong_to_correct,10,0.00375,0.00375,imagenet_mnv2_050_exact
198,pred_changed,10,0.061250000000000006,0.061250000000000006,imagenet_mnv2_050_exact
198,topk_exit,10,0.0,0.0,imagenet_mnv2_050_exact
198,gt_prob_drop,10,,0.00579508117894875,imagenet_mnv2_050_exact
198,gt_logit_drop,10,,0.2183555117622018,imagenet_mnv2_050_exact
198,margin_drop,10,,0.03942371174693108,imagenet_mnv2_050_exact
198,loss_increase,10,,0.02630945499561212,imagenet_mnv2_050_exact
198,gt_rank_worsening,10,,0.2925,imagenet_mnv2_050_exact
717,flip_correct_to_wrong,10,0.0425,0.0425,imagenet_mnv2_050_exact
717,flip_wrong_to_correct,10,0.0037500000000000007,0.0037500000000000007,imagenet_mnv2_050_exact
717,pred_changed,10,0.125,0.125,imagenet_mnv2_050_exact
717,topk_exit,10,0.0125,0.0125,imagenet_mnv2_050_exact
717,gt_prob_drop,10,,0.006069395694939886,imagenet_mnv2_050_exact
717,gt_logit_drop,10,,0.2129210937395692,imagenet_mnv2_050_exact
717,margin_drop,10,,0.04394754402339458,imagenet_mnv2_050_exact
717,loss_increase,10,,0.05228549929998509,imagenet_mnv2_050_exact
717,gt_rank_worsening,10,,0.16499999999999998,imagenet_mnv2_050_exact
29,flip_correct_to_wrong,10,0.0025,0.0025,imagenet_mnv2_050_exact
29,flip_wrong_to_correct,10,0.0,0.0,imagenet_mnv2_050_exact
29,pred_changed,10,0.0037500000000000007,0.0037500000000000007,imagenet_mnv2_050_exact
29,topk_exit,10,0.0,0.0,imagenet_mnv2_050_exact
29,gt_prob_drop,10,,0.008410605799144833,imagenet_mnv2_050_exact
29,gt_logit_drop,10,,0.18838355522602795,imagenet_mnv2_050_exact
29,margin_drop,10,,0.0540704345703125,imagenet_mnv2_050_exact
29,loss_increase,10,,0.03617635747533089,imagenet_mnv2_050_exact
29,gt_rank_worsening,10,,0.575,imagenet_mnv2_050_exact
591,flip_correct_to_wrong,10,0.041249999999999995,0.041249999999999995,imagenet_mnv2_050_exact
591,flip_wrong_to_correct,10,0.0,0.0,imagenet_mnv2_050_exact
591,pred_changed,10,0.0425,0.0425,imagenet_mnv2_050_exact
591,topk_exit,10,0.01125,0.01125,imagenet_mnv2_050_exact
591,gt_prob_drop,10,,0.012209085858776236,imagenet_mnv2_050_exact
591,gt_logit_drop,10,,0.23512620156630876,imagenet_mnv2_050_exact
591,margin_drop,10,,0.06797888584434986,imagenet_mnv2_050_exact
591,loss_increase,10,,0.04858781522908078,imagenet_mnv2_050_exact
591,gt_rank_worsening,10,,0.1,imagenet_mnv2_050_exact
107,flip_correct_to_wrong,10,0.005,0.005,imagenet_mnv2_050_exact
107,flip_wrong_to_correct,10,0.06000000000000001,0.06000000000000001,imagenet_mnv2_050_exact
107,pred_changed,10,0.06999999999999999,0.06999999999999999,imagenet_mnv2_050_exact
107,topk_exit,10,0.00125,0.00125,imagenet_mnv2_050_exact
107,gt_prob_drop,10,,0.008368795372080058,imagenet_mnv2_050_exact
107,gt_logit_drop,10,,0.1831806946452707,imagenet_mnv2_050_exact
107,margin_drop,10,,0.07661364629864693,imagenet_mnv2_050_exact
107,loss_increase,10,,0.03743264306075848,imagenet_mnv2_050_exact
107,gt_rank_worsening,10,,-0.03375,imagenet_mnv2_050_exact
101,flip_correct_to_wrong,10,0.008749999999999999,0.008749999999999999,imagenet_mnv2_050_exact
101,flip_wrong_to_correct,10,0.01625,0.01625,imagenet_mnv2_050_exact
101,pred_changed,10,0.0325,0.0325,imagenet_mnv2_050_exact
101,topk_exit,10,0.0,0.0,imagenet_mnv2_050_exact
101,gt_prob_drop,10,,-0.0002133901791239623,imagenet_mnv2_050_exact
101,gt_logit_drop,10,,0.19974806338548662,imagenet_mnv2_050_exact
101,margin_drop,10,,-0.014188951738178732,imagenet_mnv2_050_exact
101,loss_increase,10,,0.006920542169737307,imagenet_mnv2_050_exact
101,gt_rank_worsening,10,,0.4375,imagenet_mnv2_050_exact
467,flip_correct_to_wrong,10,0.01625,0.01625,imagenet_mnv2_050_exact
467,flip_wrong_to_correct,10,0.0,0.0,imagenet_mnv2_050_exact
467,pred_changed,10,0.05,0.05,imagenet_mnv2_050_exact
